Date,SALES_PH,SALES_TU,
9/18/2012,106,39,1
9/25/2012,106,38,2
10/2/2012,105,57,3
10/9/2012,108,51,4
10/16/2012,106,42,5
10/23/2012,107,39,6
10/30/2012,107,41,7
11/6/2012,107,43,8
11/13/2012,107,32,9
11/20/2012,106,39,10
11/27/2012,108,44,11
12/4/2012,106,44,12
12/11/2012,107,41,13
12/18/2012,106,47,14
12/25/2012,107,51,15
1/1/2013,107,32,16
1/8/2013,108,30,17
1/15/2013,109,47,18
1/22/2013,109,44,19
1/29/2013,110,46,20
2/5/2013,110,51,21
2/12/2013,111,47,22
2/19/2013,112,49,23
2/26/2013,112,46,24
3/5/2013,110,44,25
3/12/2013,111,49,26
3/19/2013,111,46,27
3/26/2013,110,45,28
4/2/2013,111,49,29
4/9/2013,110,46,30
4/16/2013,110,47,31
4/23/2013,112,49,32
4/30/2013,112,43,33
5/7/2013,113,45,34
5/14/2013,113,48,35
5/21/2013,114,40,36
5/28/2013,113,41,37
6/4/2013,113,42,38
6/11/2013,112,48,39
6/18/2013,113,46,40
6/25/2013,113,48,41
7/2/2013,112,61,42
7/9/2013,110,50,43
7/16/2013,112,49,44
7/23/2013,110,54,45
7/30/2013,111,43,46
8/6/2013,110,49,47
8/13/2013,113,57,48
8/20/2013,110,60,49
8/27/2013,111,56,50
9/3/2013,109,51,51
9/10/2013,109,51,52
9/17/2013,109,47,53
9/24/2013,109,48,54
10/1/2013,109,48,55
10/8/2013,108,36,56
10/15/2013,108,37,57
10/22/2013,108,48,58
10/29/2013,107,57,59
11/5/2013,108,62,60
11/12/2013,108,57,61
11/19/2013,108,47,62
11/26/2013,107,45,63
12/3/2013,108,43,64
12/10/2013,108,56,65
12/17/2013,109,70,66
12/24/2013,110,59,67
12/31/2013,110,48,68
1/7/2014,110,43,69
1/14/2014,110,56,70
1/21/2014,108,76,71
1/28/2014,110,63,72
2/4/2014,109,55,73
2/11/2014,109,49,74
2/18/2014,109,53,75
2/25/2014,110,56,76
3/4/2014,109,56,77
3/11/2014,109,51,78
3/18/2014,109,56,79
3/25/2014,108,57,80
4/1/2014,108,49,81
4/8/2014,111,58,82
4/15/2014,108,58,83
4/22/2014,109,52,84
4/29/2014,108,62,85
5/6/2014,109,69,86
5/13/2014,108,64,87
5/20/2014,110,65,88
5/27/2014,110,49,89
6/3/2014,109,42,90
6/10/2014,110,47,91
6/17/2014,110,56,92
6/24/2014,111,64,93
7/1/2014,109,60,94
7/8/2014,110,60,95
7/15/2014,110,66,96
7/22/2014,109,61,97
7/29/2014,110,63,98
8/5/2014,109,60,99
8/12/2014,110,52,100
8/19/2014,108,56,101
8/26/2014,109,64,102
9/2/2014,108,70,103
9/9/2014,109,77,104
9/16/2014,107,77,105
9/23/2014,108,72,106
9/30/2014,109,67,107
10/7/2014,109,73,108
10/14/2014,110,69,109
10/21/2014,109,58,110
10/28/2014,110,58,111
11/4/2014,108,61,112
11/11/2014,108,65,113
11/18/2014,108,68,114
11/25/2014,108,61,115
12/2/2014,107,58,116
12/9/2014,106,67,117
12/16/2014,106,69,118
12/23/2014,107,57,119
12/30/2014,107,58,120
1/6/2015,108,55,121
1/13/2015,108,51,122
1/20/2015,107,62,123
1/27/2015,108,68,124
2/3/2015,107,72,125
2/10/2015,108,67,126
2/17/2015,106,57,127
2/24/2015,108,66,128
3/3/2015,107,71,129
3/10/2015,108,64,130
3/17/2015,105,59,131
3/24/2015,107,70,132
3/31/2015,108,78,133
4/7/2015,107,71,134
4/14/2015,106,63,135
4/21/2015,106,70,136
4/28/2015,107,74,137
5/5/2015,106,74,138
5/12/2015,105,74,139
5/19/2015,107,77,140
5/26/2015,106,66,141
6/2/2015,108,64,142
6/9/2015,107,69,143
6/16/2015,107,64,144
6/23/2015,109,61,145
6/30/2015,110,63,146
7/7/2015,110,73,147
7/14/2015,109,79,148
7/21/2015,110,65,149
7/28/2015,111,65,150
