Year,Month,Day,Hour,Minute,TEMP
2017,08,01,00,56,75
2017,08,01,01,56,72
2017,08,01,02,56,71
2017,08,01,03,56,69
2017,08,01,04,56,69
2017,08,01,05,56,68
2017,08,01,06,56,69
2017,08,01,07,56,70
2017,08,01,08,56,69
2017,08,01,09,56,68
2017,08,01,10,56,70
2017,08,01,11,56,73
2017,08,01,12,56,76
2017,08,01,13,56,79
2017,08,01,14,56,81
2017,08,01,15,56,84
2017,08,01,16,56,86
2017,08,01,17,56,86
2017,08,01,18,56,87
2017,08,01,19,56,87
2017,08,01,20,56,86
2017,08,01,21,56,83
2017,08,01,22,56,84
2017,08,01,23,56,81
2017,08,02,00,56,80
2017,08,02,01,56,78
2017,08,02,02,56,79
2017,08,02,03,56,76
2017,08,02,04,56,74
2017,08,02,05,56,74
2017,08,02,06,56,74
2017,08,02,07,56,74
2017,08,02,08,56,73
2017,08,02,09,56,73
2017,08,02,10,56,74
2017,08,02,11,56,75
2017,08,02,12,56,76
2017,08,02,13,56,78
2017,08,02,14,56,81
2017,08,02,15,56,84
2017,08,02,16,56,86
2017,08,02,17,56,81
2017,08,02,18,56,72
2017,08,02,19,56,73
2017,08,02,20,56,76
2017,08,02,21,56,78
2017,08,02,22,56,78
2017,08,02,23,56,76
2017,08,03,00,56,74
2017,08,03,01,56,73
2017,08,03,02,56,72
2017,08,03,03,56,70
2017,08,03,04,56,71
2017,08,03,05,56,71
2017,08,03,06,56,70
2017,08,03,07,56,70
2017,08,03,08,56,69
2017,08,03,09,56,68
2017,08,03,10,56,68
2017,08,03,11,56,71
2017,08,03,12,56,74
2017,08,03,13,56,75
2017,08,03,14,56,78
2017,08,03,15,56,80
2017,08,03,16,56,82
2017,08,03,17,56,84
2017,08,03,18,56,83
2017,08,03,19,56,85
2017,08,03,20,56,82
2017,08,03,21,56,81
2017,08,03,22,56,81
2017,08,03,23,56,77
2017,08,04,00,56,77
2017,08,04,01,56,76
2017,08,04,02,56,75
2017,08,04,03,56,74
2017,08,04,04,56,73
2017,08,04,05,56,73
2017,08,04,06,56,72
2017,08,04,07,56,72
2017,08,04,08,56,71
2017,08,04,09,56,71
2017,08,04,10,56,71
2017,08,04,11,56,73
2017,08,04,12,56,76
2017,08,04,13,56,78
2017,08,04,14,56,80
2017,08,04,15,56,84
2017,08,04,16,56,85
2017,08,04,17,56,83
2017,08,04,18,56,76
2017,08,04,19,56,78
2017,08,04,20,56,79
2017,08,04,21,56,85
2017,08,04,22,56,82
2017,08,04,23,56,81
2017,08,05,00,56,74
2017,08,05,01,56,72
2017,08,05,02,56,70
2017,08,05,03,56,69
2017,08,05,04,56,68
2017,08,05,05,56,69
2017,08,05,06,56,69
2017,08,05,07,56,69
2017,08,05,08,56,69
2017,08,05,09,56,69
2017,08,05,10,56,69
2017,08,05,11,56,68
2017,08,05,12,56,69
2017,08,05,13,56,69
2017,08,05,14,56,71
2017,08,05,15,56,70
2017,08,05,16,56,71
2017,08,05,17,56,74
2017,08,05,18,56,75
2017,08,05,19,56,75
2017,08,05,20,56,75
2017,08,05,21,56,76
2017,08,05,22,56,75
2017,08,05,23,56,73
2017,08,06,00,56,69
2017,08,06,01,56,67
2017,08,06,02,56,68
2017,08,06,03,56,66
2017,08,06,04,56,64
2017,08,06,05,56,64
2017,08,06,06,56,63
2017,08,06,07,56,64
2017,08,06,08,56,62
2017,08,06,09,56,62
2017,08,06,10,56,62
2017,08,06,11,56,64
2017,08,06,12,56,66
2017,08,06,13,56,67
2017,08,06,14,56,68
2017,08,06,15,56,69
2017,08,06,16,56,70
2017,08,06,17,56,73
2017,08,06,18,56,75
2017,08,06,19,56,75
2017,08,06,20,56,74
2017,08,06,21,56,74
2017,08,06,22,56,72
2017,08,06,23,56,70
2017,08,07,00,56,69
2017,08,07,01,56,68
2017,08,07,02,56,69
2017,08,07,03,56,68
2017,08,07,04,56,68
